CensusTract,longitude,latitude
48215023504.0,-98.21896004782889,26.412510747903546
39013010200.0,-80.98048011750947,40.390150076819644
47157022210.0,-90.40042159030259,34.897297594191826
6089010806.0,-122.42342051372988,40.654533892505476
12105012124.0,-81.80780981695,28.28425856210135
27003050501.0,-93.67006552993173,45.327431721009326
21037051200.0,-84.42145801105144,39.10685826939657
4015952700.0,-114.65889053133094,34.891830153141484
33011000300.0,-71.45392359118445,42.933031959208286
1073000400.0,-86.48780015217326,34.07235916186801
22033003504.0,-90.60876239134771,31.079842918187033
31053964300.0,-97.18339449634229,41.861200330932085
8109977600.0,-106.30230013369574,39.302136252335366
24005452500.0,-76.41821712234372,38.89430751753833
13089023422.0,-84.10070845207784,33.18093272238402
17119401100.0,-89.93468377909485,38.92287517039052
17197883605.0,-87.5283754040061,41.35475419879206
26049003200.0,-83.86855302658705,42.7103252086996
48467950700.0,-95.73441206003261,31.8844171204638
36101961200.0,-77.37931808859945,42.55303189969926
16065950302.0,-111.93569429030084,43.63845539248494
29107090601.0,-93.85815298310561,38.777558326715344
37027030400.0,-81.48609194281887,35.93255924559307
35029000400.0,-107.23424362375641,31.804475267804158
53005010400.0,-121.05941340193613,46.62158444056293
