CensusTract,longitude,latitude
42021013500.0,-78.91123677944971,40.3207290944059
48215024105.0,-98.26997757590586,26.288247350338843
47157007810.0,-90.01542316120437,35.09068334935991
6045010600.0,-123.3637588,39.4627807
17113000501.0,-88.92288640813806,40.718297188047195
1015000500.0,-85.8452392,33.6626814
16065950302.0,-111.8024146,43.8070974
39033975300.0,-82.8140957085543,40.60639658823274
12055961500.0,-81.1508609,27.3017535
36057070200.0,-74.14782437966653,42.913198186301244
46011958802.0,-96.818806,44.3339133
4003000500.0,-109.72462341979093,31.726765754828545
51720960100.0,-82.63158268505046,36.756782196246775
28001000300.0,-91.3857982,31.5718286
29039870200.0,-94.1607429063705,37.86977113451501
48113008701.0,-96.76680177729979,32.71220786370859
4013218300.0,-111.94283028153919,33.48237162479081
10003000500.0,-75.58829004326675,39.73577881588131
18089010400.0,-87.34993949896075,41.578952410914454
53005010400.0,-119.2938376,46.2814887
27131070800.0,-93.30606886779456,44.08393160266944
17119400700.0,-90.20081500703321,38.65949644239684
8005081500.0,-104.8274015,39.6624753
26037010203.0,-84.53245218602032,42.789616193289
44003020604.0,-71.55463942648774,41.76264659118387
18005010600.0,-85.91038948083316,39.10319417771879
32023960401.0,-116.015716,36.4957124
36051031400.0,-77.55334377859187,42.48293511891575
29021003000.0,-94.85669323306777,39.94633438137326
45079011702.0,-80.99199493024865,33.94563775445898
51740212702.0,-76.42434653220197,36.79134304221524
13089023506.0,-84.22577429102617,33.72962489152405
22071001720.0,-90.03528229855513,30.004305038095815
12031011300.0,-81.66946815458493,30.435555504367187
33007950600.0,-70.91181797899351,44.40112007304963
19179960200.0,-92.51436100237696,41.055185630372435
48339692200.0,-95.3650345,30.2189104
36029017000.0,-78.82495530195322,42.92561237849626
12101031010.0,-82.64934432434842,28.313641812309747
39113003500.0,-84.1544101297171,39.670634213422986
53041970400.0,-122.91438491830367,46.49082527447664
39045030300.0,-82.51336820994842,39.81901387889603
22017022000.0,-93.80526185960075,32.51204811843141
38035010300.0,-97.06715294706936,47.922722938064155
47037014300.0,-86.79384532474764,36.17772475251968
28089030500.0,-90.2108672751151,32.71585697871419
55105002000.0,-89.00086136989847,42.366248624530776
37067001601.0,-80.13208737466394,36.26323921442366
48141003702.0,-106.38179440302072,31.738382001609132
24510271700.0,-76.6674730086716,39.323479712304795
39153502800.0,-81.35651286958006,41.09306171328719
13095011400.0,-84.15954365513453,31.56919198792167
21151010200.0,-84.35181471730131,37.847352249731514
26163533400.0,-83.1256470385041,42.368030720818965
20009971800.0,-98.7974515,38.3318048
49045130600.0,-113.5949635,40.5016499
29213480105.0,-93.2528804632997,36.63594449331483
6059099510.0,-118.08602473837904,33.7671473969914
5069001300.0,-92.018444285595,34.23302655872383
41019130000.0,-123.24738942584005,43.43829430662517
4015950705.0,-114.0406542467957,35.24440453440239
18167001100.0,-87.41354989633376,39.52336470021397
23029955100.0,-67.8670948,45.1205613
30013001600.0,-111.3262694,47.5044372
27009021101.0,-93.98914816202712,45.517893150120884
8077001706.0,-108.4473051,39.064348
18067000500.0,-86.13687979938082,40.49197849092475
42003561900.0,-79.87054341552097,40.45441805916824
35033955200.0,-104.9218975,35.9828413
51760011000.0,-77.41291163298449,37.42515640471299
25015821602.0,-72.55405056140509,42.39402361757646
22033000900.0,-91.18996887350818,30.463027242977397
1073003100.0,-86.86202896744972,33.49835879967937
55081950400.0,-90.58875886340239,43.64728037960914
49021110500.0,-112.992658,37.7137449
48479001818.0,-99.49376393244907,27.39123453670811
37113970301.0,-83.3803897,35.2010696
1097000401.0,-88.07320846963518,30.683454167506685
19155031300.0,-95.89572624799109,41.21626415167388
19187000900.0,-94.2138341,42.4676185
48429950300.0,-98.8743189,32.7423546
17199021100.0,-88.97552129313782,37.75715828701125
6057000402.0,-121.24676682321092,39.15666638705872
39105964500.0,-81.89137784953009,38.92641959461493
42097082400.0,-76.42167854065018,40.78959119476202
53063002300.0,-117.35332350509131,47.67368701055686
1101002900.0,-86.16207023825145,32.35262987024504
40143006200.0,-95.9847186,36.1995729
34029716000.0,-74.239717274334,40.14688844732158
56025000200.0,-106.3194536,42.8560464
51530930600.0,-79.3581337,37.7293448
